104,0,9,297,0,0,0
103,-1,9,296,0,-1,0
103,-1,8,297,0,0,0
104,-1,9,296,0,-1,0
103,-1,9,296,0,0,2
104,-1,8,297,1,0,0
104,0,8,297,0,0,0
103,0,8,297,0,-1,1
103,0,8,297,0,1,1
104,0,8,297,0,1,0
103,-1,9,297,0,0,0
103,-1,8,297,0,0,0
104,-1,8,297,0,0,0
104,-1,9,297,0,0,0
104,0,8,297,0,0,0
104,-1,8,297,0,-1,0
103,-2,8,296,0,0,-1
104,-1,9,297,-1,0,0
104,-1,8,297,0,-1,0
103,-1,9,296,0,0,0
104,-1,8,297,0,0,0
104,-1,9,297,0,0,0
104,-1,9,297,-1,0,2
104,0,8,297,0,-1,0
103,0,8,297,-1,-1,0
103,-1,9,297,0,0,0
103,0,8,297,0,0,0
104,-1,9,297,1,1,0
103,-1,9,297,1,0,0
104,-1,9,297,0,0,0
103,-1,9,296,0,1,0
104,-1,9,297,0,0,0
104,-1,8,296,0,0,0
104,-1,9,297,0,1,-1
104,0,8,297,0,0,-1
104,-1,9,298,0,-1,-1
103,-1,9,297,0,-2,0
104,-1,9,296,1,-2,0
103,0,9,296,-1,0,0
104,-1,9,297,-1,0,0
103,-1,8,297,0,0,0
104,-1,8,296,0,0,0
104,-1,9,296,-1,0,0
104,-1,9,297,0,0,0
104,-1,9,298,0,0,0
104,-1,9,298,0,0,0
103,-1,9,297,1,0,0
103,-1,9,297,-1,0,0
104,-1,9,297,0,1,-1
104,-1,10,297,0,0,0
104,0,9,297,0,2,1
104,0,9,296,0,0,0
104,0,9,297,0,0,0
103,-1,9,296,0,-1,0
104,-1,8,296,0,0,0
104,-1,9,297,0,0,0
104,-2,8,296,0,-1,0
105,-1,9,297,-1,0,-2
104,-1,8,296,1,-2,-1
103,-1,8,297,0,1,-1
104,-1,8,297,0,2,0
104,-1,8,298,0,0,0
103,0,9,296,0,0,0
104,-1,8,296,0,0,0
103,0,8,297,2,1,1
104,-1,9,296,0,0,0
104,-1,9,296,0,0,-2
104,0,8,297,0,0,0
104,-1,8,296,0,0,0
103,0,8,297,1,-1,1
104,-1,9,298,-1,0,0
104,-1,9,298,0,0,0
104,-1,9,297,0,0,0
103,0,8,296,0,0,0
103,-1,9,297,0,0,0
104,-1,9,297,0,-1,0
105,-1,9,297,1,-1,0
104,-1,8,296,0,-2,-1
104,-1,8,297,0,0,1
104,-1,8,297,0,1,0
104,-1,9,298,1,0,0
104,-1,9,297,1,0,1
104,-1,9,297,0,2,0
103,-1,8,297,1,1,0
104,-1,8,298,0,-1,0
103,-1,8,296,0,1,0
104,-1,8,297,0,0,0
104,-1,8,297,0,2,0
104,-1,10,297,0,0,0
104,-1,9,296,0,0,0
103,-1,9,297,0,0,-1
103,-1,8,297,0,1,0
103,-1,8,297,0,1,0
104,-1,8,297,1,0,-1
104,-1,8,296,0,2,1
104,0,9,297,0,0,0
104,-1,9,297,0,0,1
104,0,10,297,-3,0,0
104,-1,9,296,0,0,0
